,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
63,184,6428,26754,172263,572369,1339181,2254653,2945421,3199527,3132245,2838302,2257306,1460315,820897,461106,266313,142396,55525,18311,25633,33410,15823,5074,542,22,0,0,0,0,0,0,0
64,7,528,2107,11681,32269,73834,181254,369618,570455,750370,1032179,1160420,799638,380562,174174,80100,25989,9613,8799,43203,95618,47763,11275,974,70,0,0,0,0,0,0,0
65,1300,12379,14757,27485,146408,1149369,2066899,3610957,6494759,8193880,7115284,4592587,1650708,1001329,493555,250403,108462,20868,29257,66356,107381,95563,40914,7461,1065,114,0,0,0,0,0,0
66,12,3386,52413,239933,675845,1391054,2236312,2839986,3031111,2939679,2817956,2679400,2260779,1532260,869088,432553,201979,85486,29905,21925,16294,9857,2847,439,1,0,0,0,0,0,0,0
67,343,12438,63612,288449,825264,1637699,2534636,3125110,3247194,3054792,2791105,2463173,1897227,1185336,640266,317462,159071,76338,35247,36578,63048,55810,20587,6037,3143,1729,306,0,0,0,0,0
68,100,3645,27928,164483,546078,1310151,2270132,3054071,3510421,3639471,3304551,2500502,1524812,817310,430759,211979,106632,49588,16877,11421,21348,26996,16480,5580,968,206,11,0,0,0,0,0
69,11,1139,29551,171950,562697,1269241,2197074,3040554,3620732,3859204,3620075,2763933,1642912,874449,475403,246033,127865,59384,21757,17086,33356,34403,17832,3848,1057,791,163,0,0,0,0,0
70,180,8842,110259,331095,667865,1165428,1866670,2643587,3308721,3628184,3504141,2910505,1897496,1063105,600730,315806,153964,69348,20656,4595,911,272,111,17,12,0,0,0,0,0,0,0
71,15,1072,16416,103601,324126,737923,1334343,2020407,2628558,2964545,2890372,2423541,1607270,874684,441197,237184,134303,58116,12440,1854,353,155,24,1,0,0,0,0,0,0,0,0
72,0,1009,16288,92929,311343,725444,1336602,1996280,2472658,2588476,2341680,1839108,1220707,727871,403783,192386,76284,30570,10477,2092,712,254,47,0,0,0,0,0,0,0,0,0
73,31,2003,32902,155727,479383,1066961,1852209,2687917,3370542,3777041,3768512,3156484,2110939,1145041,578390,284320,133882,53095,15180,3344,701,272,84,23,17,0,0,0,0,0,0,0
