,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
71,33989,266177,199147,25305,2401667,165,2843,2909,8130480,75132,9750,6121,53874,9606,4544,53584,5488037,0,12521,39,0,8724,510,38,5918,5767,8769,979711,1444,2387,0,18752,961,24689,453689,525251,0
72,30133,231513,176417,22136,2088971,152,2625,2632,7107127,64247,8436,5403,46233,8490,4237,46270,4746377,0,11215,58,0,7829,485,39,5442,5188,7742,865069,1170,2071,0,15892,951,22019,395927,454504,0
73,45702,350500,273643,34017,3197818,252,4133,4172,10762470,97320,13181,8242,70519,13294,6707,70698,7113659,1,17183,69,0,11469,751,54,8345,8388,11326,1265952,1875,3084,2,23055,1518,32676,564749,658176,0
74,47574,361124,281365,34268,3257626,277,4263,4101,10895271,99565,13893,7836,71809,13835,7013,72054,7209590,1,17529,55,0,11621,817,62,8663,8834,11551,1295730,1946,3008,2,23058,1569,33872,581529,678689,0
75,33018,240533,197446,22909,2131468,193,3181,3066,7366909,66075,9608,5135,46877,9511,5304,46826,4671509,0,12153,28,0,7722,630,46,6542,6682,7457,854558,1207,2008,0,13698,1268,23121,370502,415810,0
76,46353,347439,275332,35686,3015904,267,4488,4371,10229268,95723,13616,9744,68268,13652,7353,68692,6638333,0,16928,83,0,10674,818,84,8849,8831,11014,1188762,2485,3428,1,22785,1663,31893,519775,589938,0
77,25751,193769,150897,20019,1666863,147,2404,2451,5830453,53245,7326,5395,37683,7335,3949,38030,3759668,0,9380,32,0,6195,463,42,4948,4924,6311,681217,1509,2018,0,12252,981,18011,298895,331937,0
78,23517,194848,114651,25897,1696614,96,1864,1840,4649245,54574,5685,11487,42618,5811,2846,42456,4006775,0,8186,34,0,6837,322,32,3721,3629,6782,740196,6256,4530,0,29696,608,17944,495787,650116,1
79,45019,335682,266736,34182,2987176,288,4131,4181,10185280,92853,13464,9115,66092,13102,6905,66660,6576098,0,16272,75,0,10378,784,71,8496,8593,10503,1168378,2609,3411,1,22139,1555,30984,521588,594199,0
80,35363,264576,209508,26664,2371422,207,3250,3106,8173859,72844,10276,7010,52039,9918,5433,52166,5273336,0,12921,47,0,8615,600,44,6659,6811,8506,947802,1901,2539,0,17560,1253,24593,426914,487758,0
81,32962,248634,195230,25464,2194547,189,3047,3055,7564863,68463,9470,6824,48989,9504,5006,48822,4908678,1,12153,39,0,7901,566,43,6087,6182,7999,886310,1861,2556,0,16899,1131,23340,400422,455263,0
