,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
53,45082,71738,12,96839,6,71293,7,98247,11,25021,25904,39928,40192,25239,25221,40847,40554,652030,110992,630454,122106,633650,110701,642488,123962,1165314,1413645,1366951,1138520,1147392,1372269,1377269,1155466,1187444,438245,1348562,421708,1138745,424233,1326011,432372,164124,163160,144223,141581,156545,155564,140137,142260,98018,47054,98317,31872,96283,45267,95422,31442,625374,424187,0
54,46596,76373,8,101723,8,76645,11,102579,10,25449,26056,42091,41953,25844,26376,42611,42021,697810,116307,677782,127813,680414,115533,692260,129829,1230766,1468528,1427735,1196069,1203024,1438178,1440194,1220434,1281315,456909,1450067,442143,1231967,444188,1437615,451771,172752,173308,156460,153956,166258,166764,153437,156354,111126,47900,110570,33702,107697,46925,107366,33722,697740,448958,0
55,32921,53268,7,75988,4,52691,4,76855,8,18172,18146,28805,29320,18189,18369,29587,29444,508654,85012,495424,89394,494754,84950,501078,90897,861915,1093079,1061194,844370,850160,1068923,1068844,857789,945340,335073,1109071,325254,912191,327229,1098186,330626,134843,136268,113325,112596,131612,131545,110761,112025,87890,38234,88822,22348,86656,37587,86232,22061,549455,329055,0
56,27179,40693,3,63850,0,40818,6,64398,5,14670,14976,23824,24290,14688,14900,24589,24273,408329,73027,395275,72151,396366,72929,401325,74137,694756,926231,901265,676252,677557,912054,912203,685391,748729,283163,899588,272806,718930,273748,893732,277606,114734,115269,88571,87056,111230,109880,86169,87711,69701,35411,70324,16737,68310,34752,68210,16682,440316,265725,0
57,18829,40363,1,56033,2,39855,0,55757,0,8120,8029,11490,11471,8016,8286,11377,11269,384600,41853,382334,35522,382709,41601,379419,35710,415143,578830,572697,414217,412612,581756,570404,407717,751836,177432,1005412,174060,751989,175462,1003373,173860,107026,107525,91953,91819,107553,106652,91795,90439,137189,21739,138543,11170,138706,21847,137576,10840,807697,303485,1
58,18915,41861,1,55865,0,41176,1,55896,0,7908,7947,10568,10733,7880,8030,10721,10612,405626,41250,403849,34571,400805,41720,403021,34937,425385,580684,575239,423823,421183,588655,587820,426096,815863,184697,1060618,181835,810687,182798,1067471,183710,114016,114699,99586,99201,113643,113325,99379,100067,158091,21267,158089,10699,156594,20906,155918,10393,904942,278728,1
59,44613,74217,8,99512,4,74561,4,100553,3,24759,25188,39499,40040,24719,24866,40480,39730,678102,109557,662759,121614,664682,108580,669749,123409,1188978,1417381,1383865,1174809,1173071,1400193,1399088,1185555,1260154,443774,1433396,432689,1221088,434313,1425132,437844,167622,167942,152587,150576,162308,161999,149500,152447,109879,45900,109330,32064,107799,44908,107528,32049,685575,442449,0
60,31221,50166,4,74053,9,50436,4,75063,5,17003,17588,26960,27474,16975,17407,28190,27329,482352,79961,466850,83247,471771,80930,480102,84562,817341,1038420,999726,792715,800091,1034702,1036082,809346,907985,323013,1056192,309731,867566,314259,1072180,318744,132035,131616,107715,105376,125250,126186,105569,107858,86280,37566,85668,21009,83172,36596,83564,20629,528380,317776,0
61,30345,48718,6,72244,4,48847,2,73902,1,16457,16553,26644,26376,16605,16642,27251,26851,469427,77824,454101,80611,455606,77874,466473,81983,788002,1012084,981399,770455,771575,993465,1009992,782194,885825,314992,1039020,303394,848800,306029,1035006,312938,129215,129431,104532,103308,124961,124178,102483,104613,81947,36832,82443,19762,79592,36199,79489,19837,503208,311453,0
62,42571,71287,7,96706,10,71030,6,98356,9,23268,23837,38001,38518,23958,23691,38955,37878,660357,104184,643894,116038,649774,105032,657235,117425,1135411,1363883,1329231,1111678,1118634,1363408,1356054,1127410,1230188,424993,1405639,415902,1193957,419318,1418351,422793,163292,164201,149452,146737,160171,160100,146797,148734,113276,44034,112365,30194,109811,42907,110288,30161,699958,433645,0
63,39107,65096,10,91056,7,64816,4,91733,6,21666,21632,35001,35348,21574,21978,35825,35699,616341,98745,601656,108112,604296,99656,617527,110083,1060812,1293996,1262260,1045582,1050227,1282397,1284432,1064746,1156963,398363,1328350,389143,1111911,391340,1328593,397876,157174,156784,138662,137038,151326,150794,136361,139318,104579,42140,104633,27696,101282,40695,101280,27751,648470,400052,0
