,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
75,0,82,6102,7039,2494,1429,2044,4453,9275,16506,25775,33965,37123,36270,33514,28634,24451,18269,13403,9249,5150,2152,994,475,261,150,88,80,30,20,9,2
76,0,27,431,706,559,900,2369,5982,14066,32553,73259,104225,92006,61685,48897,49341,49173,46196,38700,28214,19686,15134,10130,5716,3061,1707,1388,1266,1204,1110,1025,452
77,0,0,101,383,368,681,1730,4125,7061,12894,21237,29617,39633,46177,42452,30081,19313,15659,14865,13186,10458,7664,5657,4385,3368,2625,1847,1611,1527,1342,1491,990
78,3,232,1440,22809,50525,73396,100079,112659,108497,86587,58282,32132,15153,6431,2739,1863,3014,5543,5445,3937,2342,836,208,68,21,22,9,0,0,0,0,0
79,84,1533,2425,3787,26678,65247,52171,49798,57767,65928,69928,68238,62961,51534,36243,22599,13317,7327,3816,1857,986,529,240,76,16,3,0,0,0,0,0,0
80,419,6755,12350,2633,1206,2462,9207,21966,23235,20610,21091,25815,29867,30193,27744,26073,23177,18364,13026,8381,4886,2816,1703,1305,1234,1357,1538,1671,1875,1889,1769,519
81,1437,5525,1848,3575,5944,20482,31254,37999,53125,63717,64402,52497,36453,23695,11885,5368,2007,968,693,527,309,156,50,11,4,3,2,0,0,0,0,0
82,0,61,912,4782,924,2405,19764,45506,53902,58467,50018,51940,66479,60068,47053,30484,15480,6685,3581,3092,3384,2924,1618,279,86,26,0,0,0,0,0,0
83,0,57,446,4935,1612,967,3902,14176,22987,24509,24172,27404,33023,37284,37339,35283,33328,29769,26811,23742,18100,12908,8765,5657,3880,3258,2345,2207,2114,1661,1047,216
84,0,217,420,611,908,1490,3798,9667,19686,29482,32790,34238,37196,42648,47488,46147,40983,35089,28632,21513,15604,11417,8373,5979,4625,3585,3048,2920,2569,2394,2343,9484
85,0,15823,5743,11211,31018,8851,15367,19997,48390,88841,78842,70277,57009,44257,44108,45063,50791,52932,39105,24590,17489,14341,11800,9133,7202,5460,4120,2997,2551,2371,3129,38104
86,0,1583,3649,4157,2562,5865,16076,35797,52684,55263,48482,39011,32721,28932,24444,21442,18851,17283,16417,15127,13852,12652,11403,9878,8556,7328,5966,4887,3752,2787,2194,6319
87,0,718,3147,961,1989,7228,19505,31614,40476,46263,48569,39911,29151,21057,11922,4945,1771,646,220,98,66,15,0,0,0,0,0,0,0,0,0,0
88,0,0,543,3511,2992,2995,6316,13122,21980,29709,37011,46783,58900,58236,44890,41589,40772,39280,38951,36446,30576,23126,18892,17098,16013,15304,15346,15379,15329,14777,14522,10748
89,0,46,177,224,1149,5691,16923,38967,70818,110766,159752,180604,161905,127132,96939,70732,49302,31140,17142,8929,4314,1939,863,505,276,177,103,47,24,17,5,0
90,0,2,3503,46104,66807,27008,22477,35783,48936,57710,62504,62013,58938,54062,46441,33423,21503,12149,6005,3267,2663,2413,2391,2344,2337,1933,1622,1399,1153,1121,980,673
91,54,7474,10343,2104,1704,4669,12643,23905,32653,37629,33704,29617,33060,36847,36194,34025,32303,31252,28547,23899,19018,14263,10196,7576,5761,4533,3584,3160,3112,3076,3356,7339
92,0,51,3600,19220,25035,17209,24250,42382,64859,84217,87564,76860,57018,36750,23978,17710,13099,9711,5738,2634,971,574,846,1554,2214,2348,2533,2278,1202,281,2,0
93,0,65,275,1550,6701,13748,30470,54693,76237,92422,90291,65667,44788,30262,19443,12003,6930,3380,1441,455,202,78,67,45,53,34,15,23,22,23,22,19
94,0,181,2744,22233,19738,5102,18779,51618,78130,82179,70574,51734,35230,22460,12675,7148,3986,2172,1337,992,953,1315,3037,3522,2059,662,171,4,1,0,0,0
95,72,7251,4257,2749,8260,25315,35894,38009,56699,69889,75242,73199,64497,53581,43755,33918,24844,18488,13283,10002,7984,7241,5428,3288,1938,1214,674,432,282,225,160,58
96,0,1035,9079,49635,50617,17213,44687,61443,94973,93216,86313,83148,79142,63004,42166,23654,11916,6934,5126,4535,4097,3093,3929,5379,3908,2451,1396,376,15,0,0,0
97,1475,12639,3827,2615,3918,8596,16829,25492,37739,52500,64255,71425,65620,45169,25499,12106,4406,1483,779,757,277,186,193,318,338,305,177,214,102,23,2,0
