,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
40,0,0,3,35,246,871,1998,2502,2506,2105,2109,3055,5890,7501,9071,12487,17151,23706,31101,38705,46295,53107,57959,56435,51369,44573,37449,30261,23525,16897,11871,8457,5912,4250,3292,2314,1451,956,741,558,393,332,287,231,209,265,418,801,876,699,819,991,1027,511,96,17,2,0,0,0,0,0,0,0
41,0,0,1,9,20,32,86,97,199,394,848,1376,2114,3354,5343,8835,13582,18776,22196,23344,21925,21161,20431,21541,23820,26629,29940,32690,33534,33514,32000,29728,27102,23603,20468,17524,14817,12811,10665,8895,7451,6277,5062,4415,3622,3182,2711,2186,1891,1566,1329,1179,1085,1150,1122,1180,1381,1488,1615,1844,2018,2448,4110,4508
42,0,0,0,65,139,262,773,1677,3498,8498,17428,31767,38001,41036,45449,49382,51383,51319,49759,47362,44917,41178,36150,30746,25120,19548,15035,11204,7896,5269,3402,2163,1389,945,648,537,344,304,236,197,163,104,99,111,110,140,210,299,350,373,403,380,319,315,244,151,109,84,84,100,118,174,167,31
43,0,182,1412,2708,7027,4344,1958,1250,965,1069,2085,4991,10682,17512,19225,18173,15847,14792,14688,14789,16263,19544,23076,25599,27455,28163,28315,27876,25972,23580,20220,17047,13761,11304,8918,7088,5845,4881,3963,3221,2656,2175,1696,1468,1406,1305,1334,1319,1221,1277,1202,1201,1148,1063,1013,787,771,697,579,554,478,521,520,59
44,0,0,941,5027,10197,4243,2206,1497,1102,943,877,985,1872,3931,6864,9365,10709,11096,10555,9709,9409,9154,9005,9042,9316,10138,11503,12742,13598,14746,15697,15748,15919,15210,14479,13570,12225,10844,9636,7917,6806,5471,4429,3746,3227,2709,2366,1893,1728,1432,1325,1000,1010,898,809,748,728,637,650,536,528,486,953,3260
45,0,0,0,0,6,18,60,416,2948,9884,15850,15294,10536,6641,5172,5505,7518,10429,13889,18002,21738,24978,28157,29520,30195,30249,29606,28515,27035,25485,23025,20340,17827,15554,13522,11582,9851,8130,6372,4912,3754,2636,2023,1620,1237,1083,903,856,811,988,1047,1248,1316,1089,856,528,309,175,88,34,33,27,2,0
46,369,2645,4756,2631,1568,1076,1105,1346,1738,2123,2813,4289,6361,9816,14305,19014,24331,30426,35296,38876,39865,40173,39501,40208,40408,39524,37199,37299,36086,33247,28916,24048,21157,18233,15533,12988,11135,9968,8973,8397,7724,6958,6456,5794,5183,4675,4185,3904,3497,3219,2923,2659,2378,2081,1874,1656,1404,1194,1070,888,756,709,737,558
47,0,0,0,44,91,221,268,438,1360,3991,9480,21212,41732,52403,47160,47102,46314,44089,42353,39904,37214,33406,29456,25730,23575,21577,18668,16176,14773,13372,11705,10560,9482,8174,7139,6359,5984,5520,4035,3221,2660,2141,1784,1449,1148,883,694,554,437,332,284,198,160,110,68,56,20,17,16,9,2,2,0,0
48,0,37,338,175,267,665,3140,14396,17332,9339,4187,2962,3610,5318,7798,10493,13748,17081,20797,24290,27966,31076,32550,31951,28957,25351,20430,15730,11866,8511,6062,4226,3024,2739,2817,2319,1211,596,404,258,204,149,112,88,59,40,19,14,8,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
49,0,0,8,145,183,268,611,1223,1659,1458,1951,3352,5869,9475,13319,17517,21794,24902,28084,30291,32303,32097,30578,28141,27370,26838,25614,22796,19360,15175,11103,7543,4670,2759,1632,913,473,320,226,163,165,147,184,186,186,367,700,760,849,1160,1468,1042,626,391,228,87,43,13,9,0,4,2,0,0
